,Accelerometer_vehicle_z
0,14.768711923577483
1,14.768711923577483
2,0.0007844568736548139
3,0.0007844568736548139
4,0.0007844568736548139
5,0.07914151921197846
6,0.07914151921197846
7,0.1597693351410496
8,0.1597693351410496
9,0.1597693351410496
10,0.1597693351410496
11,0.7478887276104269
12,0.7478887276104269
13,0.7478887276104269
14,0.7478887276104269
15,0.13347509882225178
16,0.13347509882225178
17,0.13249258487767557
18,0.13249258487767557
19,0.13249258487767557
20,0.008855614416903624
21,0.008855614416903624
22,0.008855614416903624
23,0.008855614416903624
24,0.5099859505621478
25,0.5099859505621478
26,0.003546449384383435
27,0.003546449384383435
28,0.003546449384383435
29,0.003546449384383435
30,0.5820303043658522
31,0.5820303043658522
32,0.28261033425381715
33,0.28261033425381715
34,0.28261033425381715
35,0.01095327327008353
36,0.01095327327008353
37,0.01095327327008353
38,0.03426547485968992
39,0.03426547485968992
40,0.03426547485968992
41,0.03426547485968992
42,0.509559682168731
43,0.509559682168731
44,0.509559682168731
45,0.509559682168731
46,0.16007886931959459
47,0.16007886931959459
48,0.7197422823426678
49,0.7197422823426678
50,0.7197422823426678
51,0.23217995292436036
52,0.23217995292436036
53,0.23217995292436036
54,0.23217995292436036
55,0.17436310353194043
56,0.17436310353194043
57,0.17436310353194043
58,0.4245199485441064
59,0.4245199485441064
60,0.4245199485441064
61,0.16707939684353132
62,0.16707939684353132
63,0.16707939684353132
64,0.027635092956000626
65,0.027635092956000626
66,0.0031932789495783633
67,0.0031932789495783633
68,0.0031932789495783633
69,0.0031932789495783633
70,0.22881306518104666
71,0.22881306518104666
72,0.01442679783974756
73,0.01442679783974756
74,0.01442679783974756
75,0.01442679783974756
76,0.01442679783974756
77,0.052126395871712694
78,0.052126395871712694
79,0.42884092390037537
80,0.42884092390037537
81,0.42884092390037537
82,0.42884092390037537
83,0.2207440490883608
84,0.2207440490883608
85,0.2884478660979999
86,0.2884478660979999
87,0.2884478660979999
88,0.2884478660979999
89,0.37679447149936707
90,0.37679447149936707
91,0.37679447149936707
92,0.6277950473540794
93,0.6277950473540794
94,0.6277950473540794
95,0.40723314449248166
96,0.40723314449248166
97,0.40723314449248166
98,0.38774865431183464
99,0.38774865431183464
100,0.38774865431183464
101,0.4784482407044519
102,0.4784482407044519
103,0.4784482407044519
104,0.46708053556466556
105,0.46708053556466556
106,0.46708053556466556
107,0.46708053556466556
108,0.36450182877728643
109,0.36450182877728643
110,1.119654559718095
111,1.119654559718095
112,1.119654559718095
113,1.119654559718095
114,0.7392527923350922
115,0.7392527923350922
116,0.398963685423032
117,0.398963685423032
118,0.398963685423032
119,0.398963685423032
120,0.2949587645414354
121,0.2949587645414354
