Timestamp,Gyroscope_x,Gyroscope_y,Gyroscope_z,Accelerometer_x,Accelerometer_y,Accelerometer_z,Magnetometer_x,Magnetometer_y,Magnetometer_z,Latitude,Longitude,Altitude,Speed
1677898362819,null,null,null,null,null,null,51.4067497253418,-14.74022388458252,-7.376216888427734,null,null,null,null
1677898362830,0.02468297630548477,0.10083899646997452,-0.09077783674001694,null,null,null,null,null,null,null,null,null,null
1677898362834,null,null,null,0.08349609375,-0.9655303955078125,-0.2501373291015625,null,null,null,null,null,null,null
1677898362936,null,null,null,null,null,null,51.942543029785156,-15.355870246887207,-8.012828826904297,null,null,null,null
1677898362941,0.04923572391271591,0.07956806570291519,-0.009955961257219315,null,null,null,null,null,null,null,null,null,null
1677898362947,null,null,null,0.064910888671875,-0.972320556640625,-0.2446441650390625,null,null,null,null,null,null,null
1677898363037,null,null,null,null,null,null,51.759429931640625,-15.302048683166504,-8.124610900878906,null,null,null,null
1677898363043,null,null,null,0.06781005859375,-0.9563140869140625,-0.2422637939453125,null,null,null,null,null,null,null
1677898363049,-0.016345150768756866,0.031622909009456635,-0.02141794003546238,null,null,null,null,null,null,null,null,null,null
1677898363134,null,null,null,null,null,null,51.87651824951172,-15.391241073608398,-8.3326416015625,null,null,null,null
1677898363140,0.05305229872465134,-0.03172091022133827,-0.04043717309832573,null,null,null,null,null,null,null,null,null,null
1677898363145,null,null,null,0.0728759765625,-0.911712646484375,-0.2555694580078125,null,null,null,null,null,null,null
1677898363152,null,null,null,null,null,null,null,null,null,24.78877055348594,120.99937483409917,84.60141232050955,0
1677898363239,null,null,null,null,null,null,51.265045166015625,-14.50251293182373,-6.714080810546875,null,null,null,null
1677898363242,0.07545933872461319,0.005357747431844473,0.0316506028175354,null,null,null,null,null,null,null,null,null,null
1677898363246,null,null,null,0.0648345947265625,-0.9551239013671875,-0.253326416015625,null,null,null,null,null,null,null
1677898363338,null,null,null,null,null,null,51.267208099365234,-14.4208984375,-6.9715118408203125,null,null,null,null
1677898363345,null,null,null,0.0610504150390625,-0.9790191650390625,-0.2334136962890625,null,null,null,null,null,null,null
1677898363350,-0.06569485366344452,0.004294347018003464,0.016024772077798843,null,null,null,null,null,null,null,null,null,null
1677898363436,null,null,null,null,null,null,51.322391510009766,-14.804430961608887,-7.1561126708984375,null,null,null,null
1677898363443,null,null,null,0.0645904541015625,-0.9711456298828125,-0.23077392578125,null,null,null,null,null,null,null
1677898363449,-0.0462854728102684,-0.03074486367404461,-0.01703384518623352,null,null,null,null,null,null,null,null,null,null
1677898363539,null,null,null,null,null,null,51.30386734008789,-14.626702308654785,-7.251758575439453,null,null,null,null
1677898363544,-0.014612232334911823,0.03478248044848442,0.04313815012574196,null,null,null,null,null,null,null,null,null,null
1677898363550,null,null,null,0.0583038330078125,-1.0057220458984375,-0.2320404052734375,null,null,null,null,null,null,null
1677898363640,null,null,null,null,null,null,51.684356689453125,-15.407371520996094,-8.426307678222656,null,null,null,null
1677898363650,null,null,null,0.055145263671875,-0.975128173828125,-0.214111328125,null,null,null,null,null,null,null
1677898363663,-0.06792658567428589,0.03730129823088646,0.007626760751008987,null,null,null,null,null,null,null,null,null,null
1677898363725,null,null,null,null,null,null,51.74250411987305,-15.281052589416504,-8.304603576660156,null,null,null,null
1677898363736,0.044435109943151474,-0.019822707399725914,-0.03560992702841759,null,null,null,null,null,null,null,null,null,null
1677898363740,null,null,null,0.06549072265625,-0.9271697998046875,-0.240814208984375,null,null,null,null,null,null,null
1677898363842,null,null,null,null,null,null,51.35609817504883,-14.16148567199707,-6.792747497558594,null,null,null,null
1677898363847,null,null,null,0.0587310791015625,-0.945556640625,-0.2498321533203125,null,null,null,null,null,null,null
1677898363854,0.11476679891347885,0.01823679357767105,0.02864762395620346,null,null,null,null,null,null,null,null,null,null
1677898363943,null,null,null,null,null,null,51.349945068359375,-14.332751274108887,-6.979484558105469,null,null,null,null
1677898363949,null,null,null,0.068389892578125,-0.9684600830078125,-0.235809326171875,null,null,null,null,null,null,null
1677898363955,-0.008508266881108284,0.004504204262048006,0.01841602474451065,null,null,null,null,null,null,null,null,null,null
1677898364043,null,null,null,null,null,null,51.312652587890625,-14.418798446655273,-6.8748931884765625,null,null,null,null
1677898364049,null,null,null,0.0688018798828125,-0.9641876220703125,-0.245635986328125,null,null,null,null,null,null,null
1677898364055,-0.006895989179611206,-0.04207075387239456,-0.030233535915613174,null,null,null,null,null,null,null,null,null,null
1677898364143,null,null,null,null,null,null,51.244083404541016,-14.371479034423828,-6.700714111328125,null,null,null,null
1677898364148,-0.011126154102385044,0.017955830320715904,0.03604002669453621,null,null,null,null,null,null,null,null,null,null
1677898364164,null,null,null,0.0592498779296875,-1.0045623779296875,-0.2362823486328125,null,null,null,null,null,null,null
1677898364165,null,null,null,null,null,null,null,null,null,24.78877055348594,120.99937483409917,84.60141232050955,0
1677898364231,null,null,null,null,null,null,51.39390182495117,-14.701861381530762,-7.425304412841797,null,null,null,null
1677898364239,-0.06989280134439468,0.02363981492817402,0.018223479390144348,null,null,null,null,null,null,null,null,null,null
1677898364246,null,null,null,0.0589752197265625,-0.9869232177734375,-0.2111358642578125,null,null,null,null,null,null,null
1677898364342,null,null,null,null,null,null,51.865013122558594,-15.276223182678223,-8.499526977539062,null,null,null,null
1677898364347,null,null,null,0.0609283447265625,-0.91778564453125,-0.23968505859375,null,null,null,null,null,null,null
1677898364354,0.01660827174782753,-0.009587912820279598,-0.04038337618112564,null,null,null,null,null,null,null,null,null,null
1677898364444,null,null,null,null,null,null,51.78739547729492,-15.168426513671875,-8.343620300292969,null,null,null,null
1677898364450,null,null,null,0.0560302734375,-0.9500274658203125,-0.2461700439453125,null,null,null,null,null,null,null
1677898364456,0.09533876925706863,0.02280544675886631,0.01155652105808258,null,null,null,null,null,null,null,null,null,null
1677898364547,null,null,null,null,null,null,52.072078704833984,-15.346299171447754,-8.24020767211914,null,null,null,null
1677898364552,0.0391647145152092,0.02430240996181965,0.0065316688269376755,null,null,null,null,null,null,null,null,null,null
1677898364559,null,null,null,0.05987548828125,-0.9586334228515625,-0.2294464111328125,null,null,null,null,null,null,null
1677898364649,null,null,null,null,null,null,51.94558334350586,-15.287665367126465,-8.120243072509766,null,null,null,null
1677898364666,0.04962854087352753,-0.03813566640019417,-0.041801776736974716,null,null,null,null,null,null,null,null,null,null
1677898364671,null,null,null,0.0702056884765625,-0.9354705810546875,-0.2510986328125,null,null,null,null,null,null,null
1677898364736,null,null,null,null,null,null,51.3380012512207,-14.38294792175293,-6.846641540527344,null,null,null,null
1677898364743,0.06812073290348053,0.03922410309314728,0.005319664254784584,null,null,null,null,null,null,null,null,null,null
1677898364749,null,null,null,0.05816650390625,-0.982269287109375,-0.23016357421875,null,null,null,null,null,null,null
1677898364850,null,null,null,null,null,null,51.49595260620117,-14.625581741333008,-6.844032287597656,null,null,null,null
1677898364857,0.004192348103970289,0.030186930671334267,-0.01207051146775484,null,null,null,null,null,null,null,null,null,null
1677898364861,null,null,null,0.05975341796875,-0.971435546875,-0.2342987060546875,null,null,null,null,null,null,null
1677898364948,null,null,null,null,null,null,51.32673263549805,-14.643058776855469,-6.871860504150391,null,null,null,null
1677898364954,null,null,null,0.0694122314453125,-0.966583251953125,-0.246490478515625,null,null,null,null,null,null,null
1677898364960,-0.013762417249381542,-0.02250237949192524,-0.02111487276852131,null,null,null,null,null,null,null,null,null,null
1677898365047,null,null,null,null,null,null,51.86479568481445,-15.245187759399414,-8.205272674560547,null,null,null,null
1677898365052,0.07489901036024094,0.022518092766404152,0.0307491235435009,null,null,null,null,null,null,null,null,null,null
1677898365058,null,null,null,0.058197021484375,-0.9815216064453125,-0.248931884765625,null,null,null,null,null,null,null
1677898365151,null,null,null,null,null,null,51.848628997802734,-14.971150398254395,-7.820556640625,null,null,null,null
1677898365156,null,null,null,0.0555419921875,-0.973968505859375,-0.22125244140625,null,null,null,null,null,null,null
1677898365173,-0.07029999792575836,0.04627854749560356,-0.02774640917778015,null,null,null,null,null,null,null,null,null,null
1677898365175,null,null,null,null,null,null,null,null,null,24.78877055348594,120.99937483409917,84.60141232050955,0
1677898365237,null,null,null,null,null,null,51.97441101074219,-15.199461936950684,-8.220443725585938,null,null,null,null
1677898365246,-0.0079708406701684,-0.0412752665579319,0.009759419597685337,null,null,null,null,null,null,null,null,null,null
1677898365252,null,null,null,0.0663604736328125,-0.96173095703125,-0.2499847412109375,null,null,null,null,null,null,null
